	diet	reaction	metabolite	createdDate	updatedDate	fluxValue	g_day	mw	fullName	biggID	keggID	pubChemId	modelSeedID	miriam
etoh	Vegetarian	EX_etoh[e]	etoh	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	26.8079638103342	1.235	46.0684	Ethanol	etoh	C00469	702	cpd00363	http://identifiers.org/vmhmetabolite/etoh
h2o	Vegetarian	EX_h2o[e]	h2o	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	188463.626432673	3395.225	18.01528	Water	h2o	C00001	962	cpd00001	http://identifiers.org/vmhmetabolite/h2o
caro	Vegetarian	EX_caro[e]	caro	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.00791621699449739	0.00425	536.8726	B-Carotene	caro	C02094	5280489	cpd01420	http://identifiers.org/vmhmetabolite/caro
retinol	Vegetarian	EX_retinol[e]	retinol	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.209459468894571	0.06	286.4516	Vitamin A	retinol	C00473	445354	cpd00365	http://identifiers.org/vmhmetabolite/retinol
thm	Vegetarian	EX_thm[e]	thm	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	2.95830560314387	0.785	265.3546	Thiamine	thm	C00378	1130	cpd00305	http://identifiers.org/vmhmetabolite/thm
adocbl	Vegetarian	EX_adpcbl[e]	adocbl	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	9.30626068241607e-07	1.47e-06	1579.5818	Adenosylcobalamin	adocbl	C00194	5459907	cpd00166	http://identifiers.org/vmhmetabolite/adocbl
ribflv	Vegetarian	EX_ribflv[e]	ribflv	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.00187318709366121	0.000705	376.3639	Riboflavin	ribflv	C00255	493570	cpd00220	http://identifiers.org/vmhmetabolite/ribflv
nac	Vegetarian	EX_nac[e]	nac	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.208699319828176	0.0254825	122.1015	Nicotinic acid	nac	C00253	938	cpd00218	http://identifiers.org/vmhmetabolite/nac
ncam	Vegetarian	EX_ncam[e]	ncam	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.097461936415759	0.0119025	122.1246	Niacinamide	ncam	C00153	936	cpd00133	http://identifiers.org/vmhmetabolite/ncam
pnto_R	Vegetarian	EX_pnto_R[e]	pnto_R	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.018214977981643	0.003975	218.227	Pantothenic acid	pnto__R	C00864	988	cpd00644	http://identifiers.org/vmhmetabolite/pnto_R
pydam	Vegetarian	EX_pydam[e]	pydam	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.00330967311067901	0.00056	169.201	Pyridoxamine	pydam	C00534	1052	cpd00419	http://identifiers.org/vmhmetabolite/pydam
pydxn	Vegetarian	EX_pydxn[e]	pydxn	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.00331012697883528	0.00056	169.1778	Pyridoxine	pydxn	C00314	1054	cpd00263	http://identifiers.org/vmhmetabolite/pydxn
pydx	Vegetarian	EX_pydx[e]	pydx	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.00335004367021213	0.00056	167.162	Pyridoxal	pydx	C00250	1050	cpd00215	http://identifiers.org/vmhmetabolite/pydx
btn	Vegetarian	EX_btn[e]	btn	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.000202792652938089	4.934e-05	243.3027	Biotin	btn	C00120	171548	cpd00104	http://identifiers.org/vmhmetabolite/btn
10fthf	Vegetarian	EX_10fthf[e]	10fthf	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.000184725132439332	8.708375e-05	471.4234	10-Formyltetrahydrofolate	10fthf	C00234	122347	cpd00201	http://identifiers.org/vmhmetabolite/10fthf
5mthf	Vegetarian	EX_5mthf[e]	5mthf	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.000189953427641396	8.708375e-05	458.4479	5-Methyltetrahydrofolic acid	5mthf	C00440	439234	cpd00345	http://identifiers.org/vmhmetabolite/5mthf
thf	Vegetarian	EX_thf[e]	thf	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.00019639408651026	8.708375e-05	443.4133	Tetrahydrofolic acid	thf	C00101	91443	cpd00087	http://identifiers.org/vmhmetabolite/thf
ascb_L	Vegetarian	EX_ascb_L[e]	ascb_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.791103278851414	0.138535	175.1162	Ascorbic acid	ascb__L	C00072	54670067	cpd00059	http://identifiers.org/vmhmetabolite/ascb_L
vitd3	Vegetarian	EX_vitd3[e]	vitd3	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	7.04559121479772e-06	2.71e-06	384.6377	Vitamin D3	vitd3	C05443	10883523		http://identifiers.org/vmhmetabolite/vitd3
avite1	Vegetarian	EX_avite1[e]	avite1	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.0412694410411183	0.017775	430.7061	Alpha-Tocopherol	avite1	C02477	14985		http://identifiers.org/vmhmetabolite/avite1
phyQ	Vegetarian	EX_phyQ[e]	phyQ	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.000410099319784946	0.00018483	450.6957	Vitamin K1	phyQ	C02059	5280483	cpd01401	http://identifiers.org/vmhmetabolite/phyQ
ca2	Vegetarian	EX_ca2[e]	ca2	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	18.4818354209292	0.740715	40.078	Calcium	ca2	C00076	271	cpd00063	http://identifiers.org/vmhmetabolite/ca2
cl	Vegetarian	EX_cl[e]	cl	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	203.548641863876	7.21641	35.453	Chloride ion	cl		24526	cpd00099	http://identifiers.org/vmhmetabolite/cl
k	Vegetarian	EX_k[e]	k	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	75.8132706537113	2.96417	39.0983	Potassium	k	C00238		cpd00205	http://identifiers.org/vmhmetabolite/k
mg2	Vegetarian	EX_mg2[e]	mg2	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	15.6753754371528	0.38099	24.305	Magnesium	mg2			cpd00254	http://identifiers.org/vmhmetabolite/mg2
na1	Vegetarian	EX_na1[e]	na1	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	106.469968018748	2.44772	22.98976928	Sodium	na1	C01330	923	cpd00971	http://identifiers.org/vmhmetabolite/na1
pi	Vegetarian	EX_pi[e]	pi	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	10.7128307874719	1.02821	95.9793	Phosphate	pi	C00009	1061	cpd00009	http://identifiers.org/vmhmetabolite/pi
cu2	Vegetarian	EX_cu2[e]	cu2	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.0373745003619425	0.002375	63.546	Cu2+	cu2			cpd00058	http://identifiers.org/vmhmetabolite/cu2
fe2	Vegetarian	EX_fe2[e]	fe2	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.108559405497359	0.0060625	55.845	Fe2+	fe2	C14818	27284	cpd10515	http://identifiers.org/vmhmetabolite/fe2
fe3	Vegetarian	EX_fe3[e]	fe3	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.108559405497359	0.0060625	55.845	Fe3+	fe3	C14819	29936	cpd10516	http://identifiers.org/vmhmetabolite/fe3
mn2	Vegetarian	EX_mn2(e)	mn2	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.125687035277648	0.006905	54.938045	Mn2+	mn2			cpd00030	http://identifiers.org/vmhmetabolite/mn2
zn2	Vegetarian	EX_zn2(e)	zn2	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.116396451514225	0.00761	65.38	Zinc (II) ion	zn2	C00038	32051	cpd00034	http://identifiers.org/vmhmetabolite/zn2
mnl	Vegetarian	EX_mnl(e)	mnl	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.474277577539444	0.0864	182.1718	D-Mannitol	mnl			cpd00314	http://identifiers.org/vmhmetabolite/mnl
xylt	Vegetarian	EX_xylt[e]	xylt	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.0753882131481776	0.01147	152.1458	D-Xylitol	xylt	C00379	6912	cpd00306	http://identifiers.org/vmhmetabolite/xylt
lcts	Vegetarian	EX_lcts[e]	lcts	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	8.53394644701304	2.92114	342.2965	Alpha-Lactose	lcts	C00243	84571	cpd00208	http://identifiers.org/vmhmetabolite/lcts
malt	Vegetarian	EX_malt[e]	malt	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.262929945237535	0.09	342.2965	D-Maltose	malt	C00208	10991489	cpd00179	http://identifiers.org/vmhmetabolite/malt
sucr	Vegetarian	EX_sucr[e]	sucr	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	87.5994934216389	29.985	342.2965	Sucrose	sucr	C00089	5988	cpd00076	http://identifiers.org/vmhmetabolite/sucr
fru	Vegetarian	EX_fru[e]	fru	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	204.939777159671	36.92111	180.1559	D-Fructose	fru	C02336	439709	cpd00082	http://identifiers.org/vmhmetabolite/fru
gal	Vegetarian	EX_gal[e]	gal	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.979151945620432	0.1764	180.1559	D-Galactose	gal	C00984	439357	cpd00108	http://identifiers.org/vmhmetabolite/gal
cellul	Vegetarian	EX_cellul(e)	cellul	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.0795281660019887	6.448805	81088.3153	Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587		G10481	53477911		http://identifiers.org/vmhmetabolite/cellul
ala_L	Vegetarian	EX_ala_L[e]	ala_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	25.6933750274993	2.289105	89.0932	L-Alanine	ala__L	C00041	5950	cpd00035	http://identifiers.org/vmhmetabolite/ala_L
arg_L	Vegetarian	EX_arg_L[e]	arg_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	17.8619921704891	3.12958	175.2089	L-Arginine	arg__L	C00062	6322	cpd00051	http://identifiers.org/vmhmetabolite/arg_L
asp_L	Vegetarian	EX_asp_L[e]	asp_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	35.1497448421473	4.643095	132.0947	L-Aspartic acid	asp__L	C00049	5960	cpd00041	http://identifiers.org/vmhmetabolite/asp_L
cys_L	Vegetarian	EX_cys_L[e]	cys_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	6.74609725136227	0.817345	121.1582	L-Cysteine	cys__L	C00097	5862	cpd00084	http://identifiers.org/vmhmetabolite/cys_L
glu_L	Vegetarian	EX_glu_L[e]	glu_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	83.4289046155489	12.19074	146.1213	L-Glutamic acid	glu__L	C00025	33032	cpd00023	http://identifiers.org/vmhmetabolite/glu_L
gly	Vegetarian	EX_gly[e]	gly	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	30.2620606234997	2.27167	75.0666	Glycine	gly	C00037	750	cpd00033	http://identifiers.org/vmhmetabolite/gly
urate	Vegetarian	EX_urate[e]	urate	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	2.12437905351427	0.35713	168.1103	Uric acid	urate	C00366	1175	cpd00300	http://identifiers.org/vmhmetabolite/urate
his_L	Vegetarian	EX_his_L[e]	his_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	7.81807307034403	1.21301	155.1546	L-Histidine	his__L	C00135	6274	cpd00119	http://identifiers.org/vmhmetabolite/his_L
ile_L	Vegetarian	EX_ile_L[e]	ile_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	18.9956538278867	2.491715	131.1729	L-Isoleucine	ile__L	C00407	6306	cpd00322	http://identifiers.org/vmhmetabolite/ile_L
leu_L	Vegetarian	EX_leu_L[e]	leu_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	31.4067158689028	4.11971	131.1729	L-Leucine	leu__L	C00123	6106	cpd00107	http://identifiers.org/vmhmetabolite/leu_L
lys_L	Vegetarian	EX_lys_L[e]	lys_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	17.2539581712756	2.539705	147.1955	L-Lysine	lys__L	C00047	5962	cpd00039	http://identifiers.org/vmhmetabolite/lys_L
met_L	Vegetarian	EX_met_L[e]	met_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	6.12517282538253	0.913945	149.2113	L-Methionine	met__L	C00073	6137	cpd00060	http://identifiers.org/vmhmetabolite/met_L
phe_L	Vegetarian	EX_phe_L[e]	phe_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	15.5475149389397	2.56828	165.1891	L-Phenylalanine	phe__L	C00079	6140	cpd01400	http://identifiers.org/vmhmetabolite/phe_L
pro_L	Vegetarian	EX_pro_L[e]	pro_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	36.971219616001	4.256515	115.1305	L-Proline	pro__L	C00148	145742	cpd00129	http://identifiers.org/vmhmetabolite/pro_L
ser_L	Vegetarian	EX_ser_L[e]	ser_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	25.3416986543296	2.663225	105.0926	L-Serine	ser__L	C00065	5951	cpd00054	http://identifiers.org/vmhmetabolite/ser_L
thr_L	Vegetarian	EX_thr_L[e]	thr_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	16.5147600051041	1.967225	119.1192	L-Threonine	thr__L	C00188	6288	cpd00161	http://identifiers.org/vmhmetabolite/thr_L
trp_L	Vegetarian	EX_trp_L[e]	trp_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	3.02310880341897	0.617395	204.2252	L-Tryptophan	trp__L	C00078	6305	cpd00065	http://identifiers.org/vmhmetabolite/trp_L
tyr_L	Vegetarian	EX_tyr_L[e]	tyr_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	10.1519964015376	1.839425	181.1885	L-Tyrosine	tyr__L	C00082	6057	cpd00069	http://identifiers.org/vmhmetabolite/tyr_L
val_L	Vegetarian	EX_val_L[e]	val_L	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	25.0179903249185	2.930765	117.1463	L-Valine	val__L	C00183	6287	cpd00156	http://identifiers.org/vmhmetabolite/val_L
dca	Vegetarian	EX_dca[e]	dca	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	1.80629429388748	0.30934	171.2567	Capric acid	dca	C01571	2969		http://identifiers.org/vmhmetabolite/dca
ddca	Vegetarian	EX_ddca[e]	ddca	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	2.10564156905481	0.419675	199.3098	Dodecanoic acid	ddca	C02679	3893	cpd01741	http://identifiers.org/vmhmetabolite/ddca
ttdca	Vegetarian	EX_ttdca[e]	ttdca	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	5.80197745455505	1.319155	227.363	Myristic acid	ttdca	C06424	11005	cpd03847	http://identifiers.org/vmhmetabolite/ttdca
ttdcea	Vegetarian	EX_ttdcea[e]	ttdcea	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.715429663838585	0.16122	225.3471	9E-Tetradecenoic Acid (N-C14:1)	ttdcea		68344	cpd15298	http://identifiers.org/vmhmetabolite/ttdcea
ptdca	Vegetarian	EX_ptdca[e]	ptdca	2018-05-31T15:48:11.460268Z	2018-05-31T15:48:17.338067Z	0.621609215972851	0.15005	241.3896	Pentadecanoic acid	ptdca	C16537	13849		http://identifiers.org/vmhmetabolite/ptdca
