,Coverage,NumberMissing,MaxMissing
count,22.0,22.0,22.0
mean,0.8720708004113464,1183.3636363636363,0.033878144393788084
std,0.038382899447085804,370.3823694064008,0.024118031492680075
min,0.7894811068913764,801.0,0.010693089226435972
25%,0.8556393080606565,892.25,0.020264371528402537
50%,0.8701028653400201,1103.0,0.026396291570893175
75%,0.8925084204224497,1300.25,0.038214949123352646
max,0.9407946301171644,2172.0,0.1103708839518082
