,Coverage,NumberMissing,MaxMissing
count,22.0,22.0,22.0
mean,0.8826159205031509,1047.909090909091,0.029014748100625164
std,0.04516090257334007,472.58316568075986,0.021931680215970396
min,0.7881924168898329,2.0,0.007882317501757203
25%,0.8526828091368298,842.25,0.013446704318080453
50%,0.8819090382207097,965.5,0.02391318329210853
75%,0.90512284019857,1252.75,0.035306494678712295
max,0.9534009319813603,2167.0,0.10217965853021274
