TaxID,TaxID,ModelPath,SeqDownloadStatus,FTPLink
108.0,108.0,b_longum_data/GSMs/xml_models/108.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/525/GCA_000024525.1_ASM2452v1
292.0,292.0,b_longum_data/GSMs/xml_models/292.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/395/GCF_001718395.1_ASM171839v1
518.0,518.0,b_longum_data/GSMs/xml_models/518.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/273/255/GCA_012273255.1_ASM1227325v1
545.0,545.0,,False,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/333/315/GCA_014333315.1_ASM1433331v1
550.0,550.0,b_longum_data/GSMs/xml_models/550.0.xml,True,https
554.0,554.0,b_longum_data/GSMs/xml_models/554.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/809/395/GCF_025809395.1_ASM2580939v1
562.0,562.0,b_longum_data/GSMs/xml_models/562.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/071/945/GCA_018071945.2_ASM1807194v2
573.0,573.0,b_longum_data/GSMs/xml_models/573.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/360/235/GCF_027360235.1_ASM2736023v1
623.0,623.0,b_longum_data/GSMs/xml_models/623.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/391/345/GCA_013391345.1_ASM1339134v1
632.0,632.0,b_longum_data/GSMs/xml_models/632.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/905/GCA_000834905.1_ASM83490v1
654.0,654.0,,False,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/902/875/GCA_016902875.1_ASM1690287v1
680.0,680.0,b_longum_data/GSMs/xml_models/680.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/991/055/GCF_001991055.1_ASM199105v1
729.0,729.0,b_longum_data/GSMs/xml_models/729.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/104/465/GCF_004104465.2_ASM410446v2
817.0,817.0,b_longum_data/GSMs/xml_models/817.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/916/355/GCF_025916355.1_ASM2591635v1
818.0,818.0,b_longum_data/GSMs/xml_models/818.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/916/315/GCF_025916315.1_ASM2591631v1
820.0,820.0,b_longum_data/GSMs/xml_models/820.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/914/195/GCF_025914195.1_ASM2591419v1
821.0,821.0,b_longum_data/GSMs/xml_models/821.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/766/915/GCA_016766915.1_ASM1676691v1
823.0,823.0,b_longum_data/GSMs/xml_models/823.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/273/055/GCA_012273055.1_ASM1227305v1
831.0,831.0,b_longum_data/GSMs/xml_models/831.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/175/155/GCF_003175155.1_INBov1
839.0,839.0,b_longum_data/GSMs/xml_models/839.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/389/405/GCA_018389405.1_ASM1838940v1
853.0,853.0,b_longum_data/GSMs/xml_models/853.0.xml,True,https
901.0,901.0,b_longum_data/GSMs/xml_models/901.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/116/045/GCA_900116045.1_DESPIGER
907.0,907.0,b_longum_data/GSMs/xml_models/907.0.xml,True,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/006/415/GCF_003006415.1_ASM300641v1
